215,1953 Cadours Grand Prix – final,1953-08-30,1,2
216,1953 Italian Grand Prix – qualifying,1953-09-12,1,3
217,1953 Italian Grand Prix,1953-09-13,1,4
218,1953 London Trophy – grid,1953-09-18,1,1
219,1953 London Trophy,1953-09-19,1,2
220,1953 Modena Grand Prix – grid,1953-09-19,1,1
221,1953 Modena Grand Prix,1953-09-20,1,2
222,1953 Madgwick Cup – grid,1953-09-25,1,1
223,1953 Madgwick Cup,1953-09-26,1,2
224,1954 Argentine Grand Prix,1954-01-17,1,4
225,1954 Belgian Grand Prix,1954-06-20,1,4
226,1954 French Grand Prix,1954-07-04,1,4
227,1954 British Grand Prix,1954-07-17,1,4
228,1954 German Grand Prix,1954-08-01,1,4
229,1954 Swiss Grand Prix,1954-08-22,1,4
230,1954 Italian Grand Prix,1954-09-05,1,4
231,1954 Spanish Grand Prix,1954-10-24,1,4
232,1955 Argentine Grand Prix,1955-01-16,1,4
233,1955 Monaco Grand Prix,1955-05-22,1,4
234,1955 Belgian Grand Prix,1955-06-05,1,4
235,1955 Dutch Grand Prix,1955-06-19,1,4
236,1955 British Grand Prix,1955-07-16,1,4
237,1955 Italian Grand Prix,1955-09-11,1,4
238,1956 Argentine Grand Prix,1956-01-22,1,4
239,1956 Monaco Grand Prix,1956-05-13,1,4
240,1956 Belgian Grand Prix,1956-06-03,1,4
241,1956 French Grand Prix,1956-07-01,1,4
242,1956 British Grand Prix,1956-07-14,1,4
243,1956 German Grand Prix,1956-08-05,1,4
244,1956 Italian Grand Prix,1956-09-02,1,4
245,1957 Argentine Grand Prix,1957-01-13,1,4
246,1957 Monaco Grand Prix,1957-05-19,1,4
247,1957 French Grand Prix,1957-07-07,1,4
248,1957 British Grand Prix,1957-07-20,1,4
249,1957 German Grand Prix,1957-08-04,1,4
250,1957 German Grand Prix - F2,1957-08-04,1,2
251,1957 Pescara Grand Prix,1957-08-18,1,4
252,1957 Italian Grand Prix,1957-09-08,1,4
253,1958 Argentine Grand Prix,1958-01-19,1,4
254,1958 Monaco Grand Prix,1958-05-18,1,4
255,1958 Dutch Grand Prix,1958-05-26,1,4
256,1958 Belgian Grand Prix,1958-06-15,1,4
257,1958 French Grand Prix,1958-07-06,1,4
258,1958 British Grand Prix,1958-07-19,1,4
259,1958 German Grand Prix,1958-08-03,1,4
260,1958 German Gran Prix - F2,1958-08-03,1,2
261,1958 Portuguese Grand Prix,1958-08-24,1,4
262,1958 Italian Grand Prix,1958-09-07,1,4
263,1958 Moroccan Grand Prix,1958-10-19,1,4
264,1958 Moroccan Grand Prix - F2,1958-10-19,1,2
265,1959 Monaco Grand Prix,1959-05-10,1,4
266,1959 Dutch Grand Prix,1959-05-31,1,4
267,1959 French Grand Prix,1959-07-05,1,4
268,1959 British Grand Prix,1959-07-18,1,4
269,1959 German Grand Prix,1959-08-02,1,4
270,1959 Portuguese Grand Prix,1959-08-23,1,4
271,1959 Italian Grand Prix,1959-09-13,1,4
272,1959 United States Grand Prix,1959-12-12,1,4
273,1960 Argentine Grand Prix,1960-02-07,1,4
274,1960 Monaco Grand Prix,1960-05-29,1,4
275,1960 Dutch Grand Prix,1960-06-06,1,4
276,1960 Belgian Grand Prix,1960-06-19,1,4
277,1960 French Grand Prix,1960-07-03,1,4
278,1960 British Grand Prix,1960-07-16,1,4
279,1960 Portuguese Grand Prix,1960-08-14,1,4
280,1960 Italian Grand Prix,1960-09-04,1,4
281,1960 United States Grand Prix,1960-11-20,1,4
282,1961 Monaco Grand Prix,1961-05-14,1,4
283,1961 Dutch Grand Prix,1961-05-22,1,4
284,1961 Belgian Grand Prix,1961-06-18,1,4
285,1961 French Grand Prix,1961-07-02,1,4
286,1961 British Grand Prix,1961-07-15,1,4
287,1961 German Grand Prix,1961-08-06,1,4
288,1961 Italian Grand Prix,1961-09-10,1,4
289,1961 United States Grand Prix,1961-10-08,1,4
290,1962 Dutch Grand Prix,1962-05-20,1,4
291,1962 Monaco Grand Prix,1962-06-03,1,4
292,1962 Belgian Grand Prix,1962-06-17,1,4
293,1962 French Grand Prix,1962-07-08,1,4
294,1962 British Grand Prix,1962-07-21,1,4
295,1962 German Grand Prix,1962-08-05,1,4
296,1962 Italian Grand Prix,1962-09-16,1,4
297,1962 United States Grand Prix,1962-10-07,1,4
298,1962 South African Grand Prix,1962-12-29,1,4
299,1963 Monaco Grand Prix,1963-05-26,1,4
300,1963 Belgian Grand Prix,1963-06-09,1,4
301,1963 Dutch Grand Prix,1963-06-23,1,4
302,1963 French Grand Prix,1963-06-30,1,4
303,1963 British Grand Prix,1963-07-20,1,4
304,1963 German Grand Prix,1963-08-04,1,4
305,1963 Italian Grand Prix,1963-09-08,1,4
306,1963 United States Grand Prix,1963-10-06,1,4
307,1963 Mexican Grand Prix,1963-10-27,1,4
308,1963 South African Grand Prix,1963-12-28,1,4
309,1964 Monaco Grand Prix,1964-05-10,1,4
310,1964 Dutch Grand Prix,1964-05-24,1,4
311,1964 Belgian Grand Prix,1964-06-14,1,4
312,1964 French Grand Prix,1964-06-28,1,4
313,1964 British Grand Prix,1964-07-11,1,4
314,1964 German Grand Prix,1964-08-02,1,4
315,1964 Austrian Grand Prix,1964-08-23,1,4
316,1964 Italian Grand Prix,1964-09-06,1,4
317,1964 United States Grand Prix,1964-10-04,1,4
318,1964 Mexican Grand Prix,1964-10-25,1,4
319,1965 South African Grand Prix,1965-01-01,1,4
320,1965 Monaco Grand Prix,1965-05-30,1,4
321,1965 Belgian Grand Prix,1965-06-13,1,4
322,1965 French Grand Prix,1965-06-27,1,4
323,1965 British Grand Prix,1965-07-10,1,4
