Race,Pos,Nat.,Driver,
106,1,It It,Alberto Ascari Luigi Villoresi,1
106,14,Ger,Hans Herrman,14
106,22,Fr,Louis Rosier,22
106,20,GB,Rodney Nuckey,20
106,28,Ger,Theo Helfrich,28
106,16,GB,Ken McAlpine,16
106,26,Ger,Rudolf Krause,26
106,6,It It,Luigi Villoresi Alberto Ascari,6
106,17,GB,Alan Brown,17
106,32,Ger,Ernst Klodwig,32
106,29,Ger,Wolfgang Seidel,29
106,8,Arg,Onofre Marimón,8
106,24,Ger,Edgar Barth,24
106,25,Bel,Johnny Claes,25
106,34,Ger,Oswald Karch,34
106,18,Ger,Willi Heeks,18
106,9,Fr,Jean Behra,9
106,10,USA,Harry Schell,10
106,15,Th,B. Bira,15
106,21,Ger,Theo Fitzau,21
106,27,Ger,Kurt Adolff,27
106,30,Ger,Karl-Günther Bechem,30
106,5,Fr,Maurice Trintignant,5
106,13,GB,Roy Salvadori,13
106,33,Ger,Erwin Bauer,33
106,23,Ger,Hans Stuck,23
106,31,Ger,Ernst Loof,31
7,1,It,Alberto Ascari,1
7,2,It,Giuseppe Farina,2
7,3,GB,Mike Hawthorn,2
7,4,Arg It,Juan Manuel Fangio Felice Bonetto,3
7,5,Ger,Hermann Lang,4
7,6,It,Luigi Villoresi,4
7,7,GB,Ken Wharton,4
7,R,Brz,Chico Landi,0
7,8,Swz,Max de Terra,5
7,9,Swz,Albert Scherrer,6
7,R,Swz,Emmanuel de Graffenried,0
7,R,Arg,Onofre Marimón,0
7,R,Fr,Maurice Trintignant,0
7,R,Fr,Jean Behra,0
7,R,It Arg,Felice Bonetto Juan Manuel Fangio,0
7,R,GB,Lance Macklin,0
7,R,Swz,Peter Hirt,0
7,R,Bel,Paul Frère,0
7,R,Bel,Jacques Swaters,7
7,R,Fr,Louis Rosier,7
107,2,It,Alberto Ascari,2
107,3,It,Giuseppe Farina,3
107,7,GB,Mike Hawthorn,7
107,1,Arg It,Juan Manuel Fangio Felice Bonetto,1
107,11,Ger,Hermann Lang,11
107,6,It,Luigi Villoresi,6
107,9,GB,Ken Wharton,9
107,20,Brz,Chico Landi,20
107,19,Swz,Max de Terra,19
107,18,Swz,Albert Scherrer,18
107,8,Swz,Emmanuel de Graffenried,8
107,5,Arg,Onofre Marimón,5
107,4,Fr,Maurice Trintignant,4
107,12,Fr,Jean Behra,12
107,10,It Arg,Felice Bonetto Juan Manuel Fangio,10
107,15,GB,Lance Macklin,15
107,17,Swz,Peter Hirt,17
107,16,Bel,Paul Frère,16
107,13,Bel,Jacques Swaters,13
107,14,Fr,Louis Rosier,14
8,1,Arg,Juan Manuel Fangio,1
8,2,It,Giuseppe Farina,2
8,R,It,Alberto Ascari,3
8,3,It,Luigi Villoresi,4
8,4,GB,Mike Hawthorn,4
8,5,Fr,Maurice Trintignant,4
8,R,It,Felice Bonetto,5
8,6,Arg,Roberto Mieres,5
8,7,It It,Sergio Mantovani Luigi Musso,6
8,R,Arg,Onofre Marimón,7
8,8,It,Umberto Maglioli,8
8,9,USA,Harry Schell,8
8,10,Mon,Louis Chiron,9
8,11,Th,B. Bira,9
8,R,Swz,Emmanuel de Graffenried,0
8,12,GB,Alan Brown,10
8,13,GB,Stirling Moss,10
8,14,Ger,Hans Stuck,11
8,15,Fr,Yves Giraud-Cabantous,11
8,16,Fr,Louis Rosier,12
8,NC,GB,Jack Fairman,13
8,NC,GB,Ken Wharton,13
8,NC,GB,Ken McAlpine,13
8,R,It,Piero Carini,0
8,R,GB,Roy Salvadori,0
8,R,Brz,Chico Landi,0
8,R,Fr,Élie Bayol,0
8,R,USA,John Fitch,0
