158,1970 German Grand Prix - qualifying,1970-08-01
152,1970 Austrian Grand Prix - qualifying,1970-08-15
159,1970 Italian Grand Prix - qualifying,1970-09-05
155,1970 Canadian Grand Prix - qualifying,1970-09-19
164,1970 United States Grand Prix - qualifying,1970-10-03
160,1970 Mexican Grand Prix - qualifying,1970-10-24
173,1971 South African Grand Prix - qualifying,1971-03-05
174,1971 Spanish Grand Prix - qualifying,1971-04-17
172,1971 Monaco Grand Prix - qualifying,1971-05-22
168,1971 Dutch Grand Prix - qualifying,1971-06-19
169,1971 French Grand Prix - qualifying,1971-07-03
166,1971 British Grand Prix - qualifying,1971-07-16
170,1971 German Grand Prix - qualifying,1971-07-31
165,1971 Austrian Grand Prix - qualifying,1971-08-14
171,1971 Italian Grand Prix - qualifying,1971-09-04
167,1971 Canadian Grand Prix - qualifying,1971-09-18
175,1971 United States Grand Prix - qualifying,1971-10-02
176,1972 Argentine Grand Prix - qualifying,1972-01-22
185,1972 South African Grand Prix - qualifying,1972-03-03
186,1972 Spanish Grand Prix - qualifying,1972-04-30
184,1972 Monaco Grand Prix - qualifying,1972-05-13
178,1972 Belgian Grand Prix - qualifying,1972-06-03
181,1972 French Grand Prix - qualifying,1972-07-01
179,1972 British Grand Prix - qualifying,1972-07-14
182,1972 German Grand Prix - qualifying,1972-07-29
177,1972 Austrian Grand Prix - qualifying,1972-08-12
183,1972 Italian Grand Prix - qualifying,1972-09-09
180,1972 Canadian Grand Prix - qualifying,1972-09-23
187,1972 United States Grand Prix - qualifying,1972-10-07
188,1973 Argentine Grand Prix - qualifying,1973-01-27
191,1973 Brazilian Grand Prix - qualifying,1973-02-10
199,1973 South African Grand Prix - qualifying,1973-03-02
200,1973 Spanish Grand Prix - qualifying,1973-04-28
190,1973 Belgian Grand Prix - qualifying,1973-05-19
198,1973 Monaco Grand Prix - qualifying,1973-06-02
201,1973 Swedish Grand Prix - qualifying,1973-06-16
195,1973 French Grand Prix - qualifying,1973-06-30
192,1973 British Grand Prix - qualifying,1973-07-13
194,1973 Dutch Grand Prix - qualifying,1973-07-28
196,1973 German Grand Prix - qualifying,1973-08-04
189,1973 Austrian Grand Prix - qualifying,1973-08-18
197,1973 Italian Grand Prix - qualifying,1973-09-08
193,1973 Canadian Grand Prix - qualifying,1973-09-22
202,1973 United States Grand Prix - qualifying,1973-10-06
203,1974 Argentine Grand Prix - qualifying,1974-01-12
206,1974 Brazilian Grand Prix - qualifying,1974-01-26
214,1974 South African Grand Prix - qualifying,1974-03-29
215,1974 Spanish Grand Prix - qualifying,1974-04-27
205,1974 Belgian Grand Prix - qualifying,1974-05-11
213,1974 Monaco Grand Prix - qualifying,1974-05-25
216,1974 Swedish Grand Prix - qualifying,1974-06-08
209,1974 Dutch Grand Prix - qualifying,1974-06-22
210,1974 French Grand Prix - qualifying,1974-07-06
207,1974 British Grand Prix - qualifying,1974-07-19
211,1974 German Grand Prix - qualifying,1974-08-03
204,1974 Austrian Grand Prix - qualifying,1974-08-17
212,1974 Italian Grand Prix - qualifying,1974-09-07
208,1974 Canadian Grand Prix - qualifying,1974-09-21
217,1974 United States Grand Prix - qualifying,1974-10-05
218,1975 Argentine Grand Prix - qualifying,1975-01-11
221,1975 Brazilian Grand Prix - qualifying,1975-01-25
228,1975 South African Grand Prix - qualifying,1975-02-28
229,1975 Spanish Grand Prix - qualifying,1975-04-26
227,1975 Monaco Grand Prix - qualifying,1975-05-10
220,1975 Belgian Grand Prix - qualifying,1975-05-24
230,1975 Swedish Grand Prix - qualifying,1975-06-07
223,1975 Dutch Grand Prix - qualifying,1975-06-21
224,1975 French Grand Prix - qualifying,1975-07-05
222,1975 British Grand Prix - qualifying,1975-07-18
225,1975 German Grand Prix - qualifying,1975-08-02
219,1975 Austrian Grand Prix - qualifying,1975-08-16
226,1975 Italian Grand Prix - qualifying,1975-09-06
231,1975 United States Grand Prix - qualifying,1975-10-04
234,1976 Brazilian Grand Prix - qualifying,1976-01-24
243,1976 South African Grand Prix - qualifying,1976-03-05
247,1976 United States Grand Prix West - qualifying,1976-03-27
244,1976 Spanish Grand Prix - qualifying,1976-05-01
233,1976 Belgian Grand Prix - qualifying,1976-05-15
242,1976 Monaco Grand Prix - qualifying,1976-05-29
245,1976 Swedish Grand Prix - qualifying,1976-06-12
238,1976 French Grand Prix - qualifying,1976-07-03
235,1976 British Grand Prix - qualifying,1976-07-17
239,1976 German Grand Prix - qualifying,1976-07-31
232,1976 Austrian Grand Prix - qualifying,1976-08-14
237,1976 Dutch Grand Prix - qualifying,1976-08-28
240,1976 Italian Grand Prix - qualifying,1976-09-11
236,1976 Canadian Grand Prix - qualifying,1976-10-02
246,1976 United States Grand Prix - qualifying,1976-10-09
241,1976 Japanese Grand Prix - qualifying,1976-10-23
248,1977 Argentine Grand Prix - qualifying,1977-01-08
251,1977 Brazilian Grand Prix - qualifying,1977-01-22
260,1977 South African Grand Prix - qualifying,1977-03-04
264,1977 United States Grand Prix West - qualifying,1977-04-02
261,1977 Spanish Grand Prix - qualifying,1977-05-07
259,1977 Monaco Grand Prix - qualifying,1977-05-21
250,1977 Belgian Grand Prix - qualifying,1977-06-04
262,1977 Swedish Grand Prix - qualifying,1977-06-18
255,1977 French Grand Prix - qualifying,1977-07-02
252,1977 British Grand Prix - qualifying,1977-07-15
256,1977 German Grand Prix - qualifying,1977-07-30
249,1977 Austrian Grand Prix - qualifying,1977-08-13
254,1977 Dutch Grand Prix - qualifying,1977-08-27
257,1977 Italian Grand Prix - qualifying,1977-09-10
263,1977 United States Grand Prix - qualifying,1977-10-01
253,1977 Canadian Grand Prix - qualifying,1977-10-08
258,1977 Japanese Grand Prix - qualifying,1977-10-22
265,1978 Argentine Grand Prix - qualifying,1978-01-14
268,1978 Brazilian Grand Prix - qualifying,1978-01-28
276,1978 South African Grand Prix - qualifying,1978-03-03
280,1978 United States Grand Prix West - qualifying,1978-04-01
275,1978 Monaco Grand Prix - qualifying,1978-05-06
267,1978 Belgian Grand Prix - qualifying,1978-05-20
277,1978 Spanish Grand Prix - qualifying,1978-06-03
278,1978 Swedish Grand Prix - qualifying,1978-06-16
272,1978 French Grand Prix - qualifying,1978-07-01
269,1978 British Grand Prix - qualifying,1978-07-15
273,1978 German Grand Prix - qualifying,1978-07-29
266,1978 Austrian Grand Prix - qualifying,1978-08-12
271,1978 Dutch Grand Prix - qualifying,1978-08-26
274,1978 Italian Grand Prix - qualifying,1978-09-09
279,1978 United States Grand Prix - qualifying,1978-09-30
270,1978 Canadian Grand Prix - qualifying,1978-10-07
281,1979 Argentine Grand Prix - qualifying,1979-01-20
284,1979 Brazilian Grand Prix - qualifying,1979-02-03
292,1979 South African Grand Prix - qualifying,1979-03-02
295,1979 United States Grand Prix West - qualifying,1979-04-07
293,1979 Spanish Grand Prix - qualifying,1979-04-28
283,1979 Belgian Grand Prix - qualifying,1979-05-12
291,1979 Monaco Grand Prix - qualifying,1979-05-26
288,1979 French Grand Prix - qualifying,1979-06-30
285,1979 British Grand Prix - qualifying,1979-07-13
289,1979 German Grand Prix - qualifying,1979-07-28
282,1979 Austrian Grand Prix - qualifying,1979-08-11
287,1979 Dutch Grand Prix - qualifying,1979-08-25
290,1979 Italian Grand Prix - qualifying,1979-09-08
286,1979 Canadian Grand Prix - qualifying,1979-09-29
294,1979 United States Grand Prix - qualifying,1979-10-06
296,1980 Argentine Grand Prix - qualifying,1980-01-12
299,1980 Brazilian Grand Prix - qualifying,1980-01-26
307,1980 South African Grand Prix - qualifying,1980-02-29
309,1980 United States Grand Prix West - qualifying,1980-03-29
298,1980 Belgian Grand Prix - qualifying,1980-05-03
